Make,Colour,Odometer (KM),Doors,Price
Toyota,Green,214179,4,12872
BMW,White,195419,5,29308
Nissan,Blue,158730,3,12104
Honda,White,28791,4,19052
Toyota,White,117504,4,25874
Honda,Blue,63825,4,23339
Toyota,Green,142598,4,21830
Toyota,White,88015,4,22794
BMW,Blue,79301,5,35004
Toyota,Red,241987,4,9734
BMW,Red,39323,5,18691
Nissan,White,209259,4,10823
Honda,Red,120306,4,18346
Toyota,Blue,148421,4,9953
Toyota,Blue,225286,4,12086
Honda,White,108206,4,13208
Toyota,Green,32080,4,19936
Honda,Blue,61828,4,27787
Honda,Blue,173693,4,11092
BMW,White,194157,5,34856
Toyota,Black,224479,4,10456
Honda,Blue,232904,4,7725
Nissan,White,196374,4,7032
Toyota,White,48184,4,15095
Nissan,Green,189739,4,16730
Honda,Red,164352,4,14160
Honda,Blue,26616,4,9521
Toyota,White,203804,4,5273
Toyota,White,58054,4,10180
BMW,Blue,63321,3,39021
BMW,Red,33911,5,31296
BMW,White,173915,5,14404
Toyota,Black,217253,4,16603
Honda,Blue,228037,4,7076
Toyota,Black,140756,4,26954
Nissan,Blue,179718,4,18182
Nissan,Blue,124116,4,5386
Nissan,Blue,65719,4,14622
Nissan,Red,128235,4,8327
Nissan,Red,157169,4,9010
Honda,Red,61504,4,12046
Toyota,White,242084,4,13111
Toyota,White,61623,4,35760
Honda,Green,46085,4,29681
Honda,White,67599,4,10516
Toyota,White,59222,4,32676
Honda,White,113250,4,9675
Honda,Black,237861,4,10374
Honda,Blue,136392,4,12146
BMW,White,29534,5,28414
Nissan,Green,190794,3,17917
Honda,Blue,223685,4,9379
Honda,White,85975,4,27640
BMW,White,23996,5,48239
Toyota,Blue,85473,4,22002
Toyota,White,236674,4,15234
Nissan,Blue,193135,3,13005
Honda,White,20601,4,28983
BMW,Blue,245427,5,17520
Honda,Blue,106494,4,17858
Toyota,White,196840,4,10646
Nissan,White,116279,4,16179
BMW,Blue,158266,3,16391
Honda,White,195829,4,17866
Toyota,Blue,239004,4,8566
Honda,Red,238609,4,5052
Toyota,Green,44436,4,17317
Honda,White,224292,4,6431
Nissan,White,43540,4,9263
Honda,Green,37606,4,13255
Nissan,White,215130,4,11768
Toyota,Black,198564,4,7708
Honda,Red,11035,4,10602
Toyota,Red,197616,4,14089
Honda,White,171260,4,18524
Toyota,White,20985,4,33353
Honda,White,246079,4,10872
Nissan,White,133441,4,21921
Toyota,Red,162665,4,7042
Toyota,Blue,44815,4,8460
Toyota,Black,103472,4,15184
Nissan,White,234161,4,13200
Toyota,Blue,222542,4,8834
Honda,Blue,230570,4,10676
Toyota,White,134862,4,12353
Toyota,White,55828,4,23311
Honda,White,61163,4,18375
Honda,Red,108681,4,10740
Nissan,Blue,174825,3,4863
BMW,Green,203517,5,26846
Toyota,Green,180760,4,10380
Toyota,Blue,52054,4,10888
Toyota,Blue,118308,4,20237
Toyota,White,12141,4,17556
BMW,Blue,85692,5,32887
Nissan,Blue,104355,4,18058
Toyota,White,230943,4,13560
Toyota,White,64158,4,19134
Honda,White,29514,4,19357
Honda,Green,94062,4,27057
Nissan,White,102039,3,23868
Toyota,Blue,179468,4,7813
Honda,Red,163045,4,17035
Toyota,Blue,165301,4,10429
Toyota,Blue,161572,4,15088
Toyota,Green,151291,4,6200
Toyota,Blue,234051,4,11616
Toyota,Blue,232912,4,6029
BMW,Blue,130817,3,31392
Toyota,Blue,135080,4,13652
Nissan,Blue,197823,3,17860
Toyota,White,170466,4,3974
Toyota,White,112292,4,24834
Nissan,Blue,195494,4,6460
Nissan,Blue,111015,3,7252
Honda,Blue,247869,4,11982
Toyota,Black,188514,4,8038
Toyota,Green,165225,4,10841
Honda,Black,175075,4,8064
Honda,White,187663,4,13433
Toyota,Red,65435,4,24949
Honda,White,80664,4,20981
Toyota,White,119439,4,17340
Toyota,Red,97345,4,6962
Honda,Blue,144093,4,17036
Nissan,Blue,73926,4,29635
Toyota,White,127161,4,4871
Honda,White,40749,4,25649
Nissan,Blue,192557,4,6672
Toyota,White,117571,4,23719
BMW,White,176864,5,24938
Honda,Blue,191658,4,17597
Toyota,Black,132103,4,10439
Honda,Red,47933,4,10301
Toyota,White,50756,4,11738
Honda,Blue,196835,4,15623
Honda,Blue,106744,4,16223
Toyota,Blue,96363,4,7469
Nissan,White,181271,4,3974
BMW,Blue,103283,3,22176
Toyota,White,134415,4,5125
Honda,Black,155682,4,9992
Toyota,White,164093,4,3893
Toyota,Blue,119745,4,23902
Nissan,Black,13266,4,14502
Honda,White,145850,4,17876
Nissan,White,24420,4,14198
Honda,White,213324,4,8704
Honda,White,34822,4,14613
Toyota,Red,180473,4,6568
Nissan,White,133069,3,5008
Honda,White,71283,4,7497
Honda,Blue,23545,4,13932
Honda,Black,178774,4,15047
Toyota,Blue,112223,4,4753
Toyota,Blue,198570,4,17284
Toyota,White,214493,4,12434
Nissan,White,64362,4,28993
Honda,Blue,104304,4,23017
Nissan,Blue,71527,4,17961
Honda,White,220876,4,13308
Nissan,Blue,76412,4,13492
Toyota,Blue,243255,4,7378
Nissan,White,103728,4,7061
Honda,White,144088,4,5838
Honda,Blue,196526,4,6242
Honda,White,89291,4,13703
Nissan,Blue,18044,3,14227
Nissan,White,88908,4,22155
Honda,White,24358,4,26675
Toyota,White,175955,4,7598
Toyota,White,223625,4,8500
Toyota,White,177571,4,14318
Toyota,White,227387,4,3895
Toyota,Blue,164956,4,10834
BMW,Blue,85320,3,16517
Toyota,Green,83293,4,19337
Toyota,White,210123,4,11731
Toyota,White,193629,4,12745
Toyota,White,241454,4,8179
BMW,Blue,93792,3,35264
Toyota,Red,157432,4,8260
Honda,Black,226391,4,15879
Honda,Blue,152547,4,10259
Nissan,Blue,10954,4,30439
Toyota,White,83594,4,13648
BMW,Blue,142189,3,23336
Honda,Blue,210446,4,3594
Honda,Blue,172266,4,18327
Toyota,Blue,169449,4,10855
Toyota,White,179727,4,8980
Toyota,Blue,244204,4,6121
BMW,Blue,72575,5,41294
BMW,Blue,55789,3,26677
Toyota,Black,240937,4,8201
Toyota,Red,193006,4,5101
Honda,White,10953,4,16636
Honda,White,18933,4,8014
Honda,Blue,37625,4,6241
Nissan,White,176135,3,17127
Honda,Blue,234760,4,11411
Honda,White,128072,4,18180
Toyota,Blue,81864,4,29293
Toyota,White,149466,4,12547
Nissan,Black,141109,4,23130
Toyota,White,189194,4,4946
Toyota,Blue,42480,4,19720
Toyota,White,146307,4,13508
BMW,Red,131587,5,15652
Toyota,Blue,98890,4,26926
Toyota,Blue,188658,4,14312
Nissan,Blue,45668,4,13310
BMW,Green,162607,5,14074
Toyota,White,149989,4,5260
Honda,Red,169579,4,8089
Toyota,White,36463,4,16805
Honda,White,28625,4,8753
BMW,Red,100060,5,38060
Nissan,White,43600,4,10030
Toyota,Blue,52196,4,11076
Toyota,Black,59249,4,9108
Honda,Blue,127589,4,15610
Nissan,Green,90446,4,13251
Nissan,Black,59335,4,28354
Toyota,Blue,71306,4,23747
Honda,Blue,73286,4,19629
Toyota,Black,121160,4,8380
Nissan,White,63355,4,22989
Toyota,Blue,98619,4,33324
Toyota,Blue,200597,4,13147
Honda,White,146703,4,20642
Honda,Blue,133117,4,10344
BMW,Black,192316,5,25490
Honda,Blue,127157,4,7682
Toyota,Blue,157782,4,12592
Honda,White,193179,4,7827
Honda,White,134949,4,17622
Toyota,White,216257,4,17171
Honda,Red,111727,4,10101
Toyota,Red,86480,4,16319
Toyota,Blue,73360,4,18653
Honda,White,164703,4,12201
BMW,White,143651,5,22597
Toyota,Black,58773,4,20893
Toyota,White,72118,4,16892
Honda,White,14700,4,26973
Toyota,White,117637,4,17256
Nissan,White,129820,4,6960
Honda,White,18246,4,21684
Toyota,White,141071,4,5094
Honda,White,92883,4,14931
Toyota,Green,119394,4,11773
Nissan,Black,178899,4,5222
Toyota,White,172018,4,10196
Toyota,Blue,98971,4,16226
Nissan,Blue,215026,4,11917
Honda,Red,33261,4,28104
Toyota,White,185742,4,16865
Toyota,Blue,119311,4,26816
Nissan,Blue,153781,4,9545
Nissan,White,246825,3,13647
Toyota,Black,225991,4,12581
Toyota,Red,159925,4,14028
Nissan,White,51004,4,31633
Toyota,White,216076,4,12152
Toyota,White,231683,4,16001
Toyota,Blue,135237,4,18358
Nissan,White,193389,4,7443
Toyota,White,143104,4,4589
BMW,White,146911,3,17076
Toyota,White,199985,4,21007
Honda,White,74501,4,29616
Toyota,White,114202,4,22505
Toyota,White,66150,4,25111
Honda,Blue,42420,4,7376
Nissan,Blue,111256,4,10919
BMW,Black,181572,5,25763
Nissan,White,186752,4,7882
Nissan,Red,209976,4,4200
Honda,Green,81764,4,29004
Nissan,White,82429,4,8979
Honda,Black,221461,4,10450
Honda,White,47712,4,18029
Honda,Blue,166897,4,10278
Toyota,Blue,35181,4,19175
Toyota,Black,222813,4,4106
Toyota,White,107410,4,24990
Toyota,Blue,14645,4,21326
Toyota,Blue,67120,4,16732
Nissan,Red,162535,4,17144
Nissan,White,26634,4,12024
Toyota,Green,118706,4,20705
BMW,Green,209340,5,29140
Nissan,Blue,38233,4,23483
Toyota,Blue,192543,4,13213
Nissan,White,152215,4,16519
Honda,Blue,30120,4,6357
Toyota,Red,68125,4,8105
Toyota,Blue,207048,4,10663
Honda,White,126854,4,12311
Honda,Red,236800,4,6174
Nissan,Blue,180739,4,19389
Nissan,Red,196130,3,13707
Honda,Green,164493,4,13866
Honda,Blue,207344,4,4941
Nissan,White,228090,4,16366
Toyota,Blue,180156,4,14086
Toyota,White,110362,4,13560
Honda,White,235294,4,10597
Honda,White,43148,4,29089
BMW,Blue,69358,5,47260
Toyota,White,124057,4,18919
Toyota,Blue,126078,4,14442
Nissan,Blue,224410,4,13244
Toyota,Green,221725,4,6742
Honda,Blue,35292,4,22042
Toyota,White,35673,4,35683
Honda,White,205597,4,4239
Honda,Blue,76579,4,20511
Nissan,White,137477,4,10630
Honda,White,120283,4,19376
Honda,Black,51328,4,10675
Toyota,Black,218253,4,13176
Toyota,Blue,39311,4,17520
Toyota,White,210193,4,5653
Honda,Black,27788,4,18919
Honda,White,175309,4,4034
Honda,Black,111097,4,16072
Honda,Red,16079,4,9954
Toyota,Blue,89641,4,33463
BMW,Blue,72663,5,40032
Toyota,Red,86284,4,22542
Honda,White,95481,4,8687
Honda,White,214405,4,7982
Honda,White,52563,4,26078
Honda,White,113704,4,23280
Honda,Blue,73869,4,27744
Honda,White,95579,4,11135
Honda,Black,45152,4,22825
Honda,Green,194035,4,11648
Toyota,Blue,220679,4,15508
Honda,Blue,102032,4,19036
Toyota,Green,58938,4,6602
Toyota,White,148952,4,14021
Toyota,Blue,193276,4,10522
Nissan,Blue,189182,3,18834
Toyota,White,197393,4,20879
Honda,White,42844,4,29145
Toyota,White,122266,4,17664
Toyota,Red,240017,4,13728
Toyota,Green,88598,4,19373
Toyota,Blue,216563,4,7903
Honda,Black,123924,4,21236
Toyota,White,185455,4,16220
Nissan,Green,163080,4,7973
Toyota,White,53531,4,7802
Honda,Blue,142403,4,6803
Nissan,White,127386,4,8461
Toyota,White,142633,4,10402
Toyota,Blue,215955,4,7994
Nissan,Blue,46842,4,28655
Nissan,Red,86217,4,13127
Honda,Black,222786,4,15233
Honda,White,130494,4,5513
Toyota,White,181016,4,20521
BMW,White,96224,5,45720
Honda,Blue,176566,4,13257
Toyota,Blue,171373,4,9529
Toyota,Green,241507,4,7724
Honda,Red,86427,4,30854
Toyota,White,210863,4,12112
Toyota,White,216647,4,10207
BMW,Blue,35837,3,33198
Honda,Blue,166595,4,5138
Honda,Blue,68223,4,27530
Honda,Blue,223005,4,14431
Honda,Black,61120,4,30374
Honda,Blue,83357,4,22263
Nissan,White,20315,4,8137
Toyota,Blue,152042,4,20590
Honda,Black,213154,4,8192
Nissan,White,24741,4,20840
Toyota,Blue,247601,4,11162
Honda,Blue,40912,4,26885
Nissan,Black,218697,4,5157
Toyota,White,26655,4,11749
Honda,White,42137,4,10298
Toyota,Black,71463,4,31206
Toyota,Blue,149270,4,21953
Honda,Blue,66613,4,20450
Toyota,White,48674,4,18976
Honda,White,123898,4,20622
Toyota,Black,136271,4,20242
Honda,Black,119033,4,16774
Honda,Blue,50475,4,8164
Honda,White,42379,4,25382
Honda,Black,147889,4,8916
Nissan,Green,76610,3,16320
Nissan,Blue,249860,4,14524
Honda,Red,113538,4,15995
Honda,White,152212,4,10580
BMW,White,26531,5,19408
Toyota,White,137628,4,18142
Toyota,Blue,33461,4,33850
Honda,White,178134,4,8870
Toyota,White,74919,4,7183
Honda,Green,165101,4,10377
Nissan,White,235952,4,13272
Nissan,Black,77474,4,22924
Honda,White,121416,4,17690
Honda,Blue,196507,4,17065
Toyota,Blue,95993,4,28073
Nissan,Green,87701,4,29656
BMW,White,192673,5,23377
Nissan,White,205155,3,10287
BMW,White,242935,3,14767
Honda,Red,101835,4,16110
Toyota,Black,26798,4,28276
Toyota,Red,88571,4,21431
Toyota,Red,49807,4,25775
Nissan,White,71103,4,6884
Honda,White,237209,4,10494
Toyota,Green,37703,4,31343
Toyota,White,26191,4,15372
Toyota,Blue,213344,4,17052
Honda,Blue,28561,4,14204
Toyota,Blue,155018,4,10024
Honda,Blue,120448,4,12392
Nissan,White,19265,4,21451
Honda,White,40134,4,16273
Toyota,Black,86696,4,30320
Toyota,Blue,23637,4,35281
Nissan,Red,166895,4,10061
Nissan,White,19482,3,31208
BMW,Blue,40774,5,26834
Toyota,White,202435,4,16867
Toyota,White,72725,4,25735
Toyota,Blue,63501,4,15260
Toyota,Black,228063,4,16308
Nissan,Red,143204,3,16719
Toyota,Green,213077,4,9168
BMW,Blue,209466,5,26880
BMW,White,33320,3,27888
Honda,White,236432,4,7496
Honda,Blue,41846,4,10241
BMW,Red,38775,5,20532
Toyota,Blue,226217,4,15413
Honda,White,211154,4,9402
Toyota,White,248416,4,14717
Nissan,Red,200403,4,15154
Nissan,Green,233054,4,8930
Toyota,White,138294,4,11626
Toyota,Blue,84787,4,28414
Toyota,White,176172,4,18923
Nissan,Black,170777,4,9649
BMW,White,235774,5,29401
Honda,Blue,161140,4,11364
Toyota,Blue,189781,4,10352
Honda,White,117907,4,16908
Toyota,Green,213861,4,3751
Toyota,Red,248634,4,9919
Honda,Black,38327,4,23728
Honda,White,225600,4,9492
BMW,Black,54141,5,37518
Honda,Blue,163297,4,13263
Honda,White,24180,4,9710
Toyota,Black,98409,4,32863
Toyota,White,228619,4,12058
Honda,Black,232910,4,6690
Nissan,Blue,28390,3,6504
Nissan,White,152006,3,4165
Nissan,Green,107112,3,16345
Honda,Black,189001,4,5843
Nissan,White,48730,4,11210
Nissan,White,192747,4,6750
Toyota,Blue,177356,4,15827
Toyota,White,146824,4,16285
Honda,White,64574,4,17654
Toyota,White,244404,4,13334
Nissan,White,66199,4,27557
Toyota,Blue,199315,4,19453
Honda,Blue,203447,4,3509
Honda,Blue,158301,4,15297
Honda,White,82518,4,22587
Honda,Blue,224900,4,9104
Honda,White,56523,4,6207
Toyota,Red,98854,4,29876
Honda,Black,151414,4,12186
Nissan,White,222917,4,15673
Honda,Blue,67875,4,17152
BMW,Blue,134103,5,36109
Nissan,White,177272,4,18248
Honda,Black,88002,4,20219
Toyota,Black,112622,4,15778
Toyota,Red,185940,4,9685
Honda,Red,172705,4,17324
Toyota,White,105837,4,23844
Toyota,White,124205,4,6917
Nissan,White,87997,4,28596
Honda,White,148238,4,11303
Toyota,White,10217,4,22883
BMW,White,57905,3,50868
Honda,White,70154,4,27852
BMW,Blue,165375,5,26540
Toyota,White,223727,4,12901
Toyota,White,81656,4,14282
Toyota,Red,189278,4,9222
BMW,White,227845,5,11298
Honda,White,13116,4,16464
Toyota,White,69222,4,29363
Honda,Blue,197664,4,12950
Toyota,Black,146848,4,7286
Honda,Blue,76252,4,9500
Honda,White,121791,4,6920
Honda,Blue,77978,4,18199
Toyota,White,235792,4,10726
Toyota,Black,197498,4,6956
Toyota,White,129188,4,17609
Toyota,Blue,223875,4,12650
Nissan,Blue,96785,4,22949
Honda,White,187380,4,4022
BMW,Black,11049,3,19500
Toyota,Blue,76416,4,21653
BMW,White,228678,5,18557
Honda,Red,47404,4,23554
Toyota,Green,172493,4,14698
Honda,White,11119,4,20845
BMW,Black,201190,3,16705
Toyota,Blue,192890,4,20130
Toyota,Black,72287,4,13934
Toyota,Black,115739,4,8513
Honda,Green,208651,4,13722
Nissan,Blue,195105,3,7823
Toyota,Blue,240627,4,5285
BMW,Blue,37983,3,30020
BMW,White,168854,5,23240
BMW,Blue,60499,5,11708
Toyota,White,46848,4,17795
Nissan,Blue,233501,4,2796
Toyota,Black,97042,4,8203
Nissan,Red,113987,4,4968
Nissan,Green,223555,4,11854
Nissan,Blue,63686,4,14432
Toyota,White,147230,4,16645
Honda,Blue,21146,4,23064
Toyota,Blue,166679,4,18222
Honda,Red,108794,4,15962
Toyota,Blue,229110,4,17258
Nissan,Red,90110,4,21679
Honda,Blue,217068,4,4358
Honda,Black,133270,4,21612
Toyota,Green,202862,4,17635
Honda,White,136340,4,19271
Toyota,Green,209457,4,14590
Toyota,Black,224986,4,11233
Toyota,Green,201964,4,13637
Honda,Blue,63800,4,26308
Toyota,Blue,61337,4,28830
Honda,Blue,190532,4,8479
Toyota,White,161870,4,7157
BMW,Blue,212644,5,19545
Toyota,White,30334,4,35687
Honda,Black,158337,4,4733
Nissan,White,219137,4,5865
Toyota,Black,140913,4,15967
Honda,Blue,195239,4,14944
Honda,White,178351,4,14331
BMW,Green,152243,5,20108
Toyota,White,245977,4,11036
Toyota,White,32748,4,30323
Toyota,Green,60344,4,13966
Honda,Blue,244434,4,8253
Nissan,White,198923,4,5135
Toyota,White,128294,4,13608
BMW,Blue,179255,5,33040
Toyota,White,22257,4,27868
Toyota,White,85800,4,20503
Toyota,Red,190211,4,4454
Toyota,Blue,103202,4,13394
Honda,Blue,48777,4,7910
Toyota,White,18812,4,22643
Honda,White,29541,4,8690
Honda,Red,123224,4,16488
Honda,White,192655,4,12609
Toyota,Blue,219420,4,8952
Toyota,White,185146,4,4566
Toyota,Red,77677,4,10638
Nissan,White,211504,4,14084
Toyota,Green,88519,4,18640
Toyota,White,78123,4,24629
Toyota,White,201039,4,16879
Nissan,Green,229929,4,9803
BMW,White,83309,5,45509
Toyota,White,148473,4,23386
Toyota,White,10247,4,32566
BMW,Blue,50363,5,30104
Honda,Blue,187630,4,15810
Nissan,Black,192250,4,10962
Toyota,White,95725,4,12523
Honda,White,136279,4,5933
Toyota,White,239554,4,10747
Honda,White,100884,4,5145
Nissan,Red,124112,4,7217
Nissan,White,114699,4,16016
Toyota,Blue,198983,4,18440
Toyota,Black,201753,4,15097
Nissan,White,195056,4,11140
Honda,White,30080,4,18429
Honda,Blue,171303,4,10821
Toyota,Red,220026,4,9554
Honda,White,154013,4,10130
Toyota,Blue,190406,4,20867
BMW,Red,175134,5,29487
Toyota,White,100107,4,9878
BMW,Green,117440,5,17322
Toyota,Blue,188036,4,18866
Toyota,Blue,34521,4,30191
Nissan,Blue,69954,4,20938
BMW,Red,149413,5,36864
Nissan,Green,235589,4,5905
Toyota,Blue,125939,4,10349
Honda,White,248301,4,14026
Honda,Blue,248899,4,5834
Nissan,Blue,209485,4,13474
Toyota,White,62712,4,24342
BMW,Green,112156,5,12904
Toyota,Green,243177,4,3125
Toyota,White,93593,4,29638
Honda,Green,94225,4,28599
Toyota,Blue,48684,4,33817
Toyota,Red,107799,4,13417
Toyota,White,112103,4,7898
Toyota,White,74984,4,16766
BMW,Blue,129040,5,32353
Nissan,White,166735,4,7350
Nissan,White,129883,4,23945
Honda,White,245327,4,8226
Toyota,White,51788,4,6480
BMW,Blue,31277,5,18139
Nissan,White,43191,4,14254
Nissan,Blue,191024,3,9450
Nissan,White,61876,4,5922
BMW,White,69066,5,22784
Honda,Blue,40635,4,12402
Toyota,Red,13050,4,9074
Honda,White,27426,4,26813
Toyota,Green,110078,4,13650
BMW,White,118286,5,14145
BMW,White,212920,3,11733
BMW,White,45513,5,38984
Honda,Black,231825,4,12988
Toyota,White,112968,4,18962
Honda,Red,118609,4,5465
Toyota,White,100657,4,26374
Toyota,Red,210870,4,16652
Toyota,White,218519,4,5201
Honda,Red,211735,4,14132
Honda,White,124924,4,19832
Toyota,White,14497,4,19838
Toyota,White,225284,4,12408
Honda,Blue,236760,4,12362
Honda,Blue,200219,4,4606
Toyota,Black,27139,4,22921
BMW,Black,204746,5,24494
Toyota,Green,106475,4,24242
BMW,White,152410,5,21580
Toyota,White,63832,4,6698
Toyota,White,73869,4,19572
Nissan,White,49310,4,27146
BMW,Blue,244095,5,25780
Toyota,Blue,229055,4,10865
Toyota,Black,144944,4,22873
Nissan,Black,10148,4,27337
Toyota,Blue,181466,4,14388
Toyota,White,248815,4,9785
Honda,White,56534,4,6676
Nissan,White,48277,4,11406
Toyota,Green,212623,4,9073
Toyota,White,28809,4,22139
Toyota,Blue,237448,4,16202
